question_id,compressed_tags
76,[-17.418947 -15.352604 -20.333529  11.311909]
77,[ -5.6899567  -9.559497  -16.950378    2.2011771]
78,[-17.314293   -8.341853   -6.5060205  13.122075 ]
79,[-13.21927   -13.538326    2.9250362  18.870424 ]
80,[-10.959289  -11.987307   -4.427466    0.5197698]
81,[-13.768341   -1.002045   -3.6701148   8.038145 ]
82,[-16.817217   -3.2790937 -15.427952    1.9221636]
83,[-5.383003   -5.5455337   0.9650665   0.11245375]
84,[-14.751986   -8.029612   -3.9702327   9.810848 ]
85,[-12.222751   -1.2106291  -1.7798393   3.1094108]
86,[ -8.44723    -10.940841    -3.8450704    0.53943694]
87,[-12.553177    0.829051   -7.052506    4.7804394]
88,[-12.414875   -2.2419057  -2.0163057   5.2078204]
89,[-10.488575    -7.1302314    0.17051046   5.762681  ]
90,[-13.540963 -12.170731   8.972344  10.238654]
91,[ -9.650161  -11.904243    2.3978653  10.413453 ]
92,[-14.402007   -4.8406568  -7.4734564  10.65113  ]
93,[-6.919526 -8.736871 -6.926454 13.105813]
94,[-15.73284   -10.287952    6.2600574  12.127032 ]
95,[ -7.3422284 -18.640022   -4.4408264   8.578666 ]
96,[-18.527845 -11.184167 -22.034447  14.534877]
97,[-6.910758 -9.530711 -7.441457 13.016252]
98,[-13.1362505  -20.035969     0.47285873  17.857807  ]
99,[-5.7148666 -7.2299433  3.9732213  3.685336 ]
100,[-7.877844 -9.755937  4.003909 10.035004]
101,[-20.036478   -9.242645   -7.4665494  20.340876 ]
102,[-3.5219758 -9.390889  -9.3889065  4.332918 ]
103,[-10.959289  -11.987307   -4.427466    0.5197698]
104,[-10.300293 -13.885584  10.1217    19.941938]
105,[-3.5219758 -9.390889  -9.3889065  4.332918 ]
106,[-21.957941 -14.585539 -17.320768  20.382559]
107,[ -5.9245315 -16.880127   -3.0913408   5.646304 ]
108,[-17.314293   -8.341853   -6.5060205  13.122075 ]
109,[ -3.2193375 -10.903637    5.3176694  11.760274 ]
110,[-9.280098  -5.861289   3.0412781  2.6943784]
111,[-12.977605 -10.931109   5.217493  18.585932]
112,[-14.78546    -5.8029385  -3.5377903  10.356251 ]
113,[-15.386011   -15.051852    -0.20909883   7.20038   ]
114,[-14.751986   -8.029612   -3.9702327   9.810848 ]
115,[-12.609765 -13.84354    5.11284   17.178844]
116,[ -8.44723    -10.940841    -3.8450704    0.53943694]
117,[-12.977605 -10.931109   5.217493  18.585932]
118,[-10.758564   -8.384315    2.478946    7.2806764]
119,[-12.9077      1.5288249  -2.0938857   5.890947 ]
120,[-10.284257     0.27130398  -6.192645     0.8220405 ]
121,[-10.368957   -6.746417    4.0971627   7.2717357]
122,[-17.935904  -7.895919 -14.264689  14.689954]
123,[-10.284257     0.27130398  -6.192645     0.8220405 ]
124,[-10.959289  -11.987307   -4.427466    0.5197698]
125,[-13.666951   -1.8838122  -4.163305    6.1528597]
126,[-16.817217   -3.2790937 -15.427952    1.9221636]
127,[-9.280098  -5.861289   3.0412781  2.6943784]
128,[-13.498923   -6.1107397  -6.8111725  14.24366  ]
129,[ -7.3422284 -18.640022   -4.4408264   8.578666 ]
130,[-5.3680305 -4.006841   2.5583293  2.5838127]
131,[ -8.639208  -14.703125    7.3277006  20.677322 ]
132,[-22.829391   -7.9606476  -6.1549215  20.57655  ]
133,[-8.353573  -7.7853956  5.7913456  5.8377867]
134,[-17.314293   -8.341853   -6.5060205  13.122075 ]
135,[-12.985285  -13.940314    5.2498627  19.454462 ]
136,[-8.353573  -7.7853956  5.7913456  5.8377867]
137,[-10.574946  -20.489185   -1.2168843  15.765444 ]
138,[-14.78546    -5.8029385  -3.5377903  10.356251 ]
139,[-16.038     -9.27733    6.696963   7.395444]
140,[-13.498923   -6.1107397  -6.8111725  14.24366  ]
141,[ -3.2193375 -10.903637    5.3176694  11.760274 ]
142,[-11.19551   -14.29025    -3.3276079  -1.0538538]
143,[ -9.650161  -11.904243    2.3978653  10.413453 ]
144,[-14.879706   -6.514856   -6.4835677  14.270243 ]
145,[-19.026072  -15.402194   -1.0192106   7.9259453]
146,[-17.935904  -7.895919 -14.264689  14.689954]
147,[-7.7135124 -8.019201   2.3614724  9.7019615]
148,[-9.280098  -5.861289   3.0412781  2.6943784]
149,[ -5.3704824 -10.666824    7.780486   12.058554 ]
150,[-10.959289  -11.987307   -4.427466    0.5197698]
151,[-20.758444   -9.129768   -4.5578327  23.538132 ]
152,[-12.670729  -12.442377    6.7624035  18.127686 ]
153,[-10.924299    -8.518393    -0.44632018   3.6706629 ]
154,[ -5.9245315 -16.880127   -3.0913408   5.646304 ]
155,[-17.314293   -8.341853   -6.5060205  13.122075 ]
156,[-16.289566   -8.980238    3.9014301   9.866083 ]
157,[-10.368957   -6.746417    4.0971627   7.2717357]
158,[-12.678647   -0.5251899  -2.4751801   5.306802 ]
159,[-13.768341   -1.002045   -3.6701148   8.038145 ]
160,[-8.353573  -7.7853956  5.7913456  5.8377867]
161,[-15.806004  -6.697611  -7.123951  13.267295]
162,[-16.817217   -3.2790937 -15.427952    1.9221636]
163,[ -8.44723    -10.940841    -3.8450704    0.53943694]
164,[-10.284257     0.27130398  -6.192645     0.8220405 ]
165,[-15.211534   -1.1851678 -11.606555    5.463164 ]
166,[-8.353573  -7.7853956  5.7913456  5.8377867]
167,[-16.038     -9.27733    6.696963   7.395444]
168,[ -9.589717 -13.778534   7.055916  16.569265]
169,[-13.498923   -6.1107397  -6.8111725  14.24366  ]
170,[ 0.27654457 -8.034686   -9.820708    4.286137  ]
171,[-8.353573  -7.7853956  5.7913456  5.8377867]
172,[ -9.192295   -12.940851     0.30351365  10.73432   ]
173,[-15.419509 -10.847289 -18.68076   10.32488 ]
174,[ -5.6899567  -9.559497  -16.950378    2.2011771]
175,[-18.527845 -11.184167 -22.034447  14.534877]
176,[ -7.3422284 -18.640022   -4.4408264   8.578666 ]
177,[ -6.163978  -10.750806    3.6702871  11.042996 ]
178,[-20.758444   -9.129768   -4.5578327  23.538132 ]
179,[-2.314529  -8.37157   -9.322631   2.3200889]
180,[-8.337024  -7.2847934  3.909388   5.5261536]
181,[ -9.650161  -11.904243    2.3978653  10.413453 ]
182,[-20.528358  -11.33483    -5.3403816  20.26835  ]
183,[ -3.5197442 -12.150224  -13.137603    6.8188915]
184,[-17.418947 -15.352604 -20.333529  11.311909]
185,[ -3.2193375 -10.903637    5.3176694  11.760274 ]
186,[-10.758564   -8.384315    2.478946    7.2806764]
187,[-8.782654    0.52965724 -2.6446211   3.2972245 ]
188,[-13.768341   -1.002045   -3.6701148   8.038145 ]
189,[-10.959289  -11.987307   -4.427466    0.5197698]
190,[-17.314293   -8.341853   -6.5060205  13.122075 ]
191,[-13.735917   -1.0221101  -2.646331    4.6967654]
192,[-10.758564   -8.384315    2.478946    7.2806764]
193,[-13.001795   -4.0171566 -12.386552    2.139976 ]
194,[-10.284257     0.27130398  -6.192645     0.8220405 ]
195,[-11.750546    -7.205433    -0.29423332   4.46298   ]
196,[-23.270002  -35.460064  -10.824027    1.4841162]
197,[-22.146914 -12.237381 -19.604004   3.342401]
198,[-19.681023   -36.926647   -29.475578     0.16313225]
199,[-25.108557 -29.48567  -10.394941  -4.351393]
200,[-11.80833  -22.113749 -25.708172   1.845642]
201,[-22.279648 -26.469227 -10.415421  -5.491915]
202,[-24.98033   -20.0633    -11.841286    3.0145636]
203,[-22.82654  -26.343811  -9.983285  -4.922291]
204,[-14.192851  -16.541943   -6.0915956  -4.5592723]
205,[-22.146914 -12.237381 -19.604004   3.342401]
206,[-18.842447  -40.220955   -2.808741    3.3130445]
207,[-23.270002  -35.460064  -10.824027    1.4841162]
208,[-14.824509  -11.090096   -5.1754208  -1.5188403]
209,[-16.243626   -9.785896   -5.5327415  -1.8521901]
210,[-17.063412  -20.461895   -6.2877073   1.6714313]
211,[-20.535278  -37.948036  -30.313826    0.7606718]
212,[-30.41427   -27.05323   -23.160404    1.3596734]
213,[-22.146914 -12.237381 -19.604004   3.342401]
214,[-21.105904   -8.653583  -12.624325    3.1646085]
215,[-20.815966  -40.928925  -30.252262    1.4140638]
216,[-22.21048   -26.896713   -9.997849   -5.4506445]
217,[-20.520548 -30.60498  -24.692476  -8.131051]
218,[-11.206186  -18.648645  -16.53774    -5.6447873]
219,[-16.271156  -12.195999   -8.474274   -2.2591548]
220,[-26.143919  -8.160946 -17.017094   4.751476]
221,[-23.379414   -34.491714   -10.825271     0.94612384]
222,[-26.143919  -8.160946 -17.017094   4.751476]
223,[-21.185715  -12.750884  -16.158312    2.5183005]
224,[-15.743058   -9.544211   -0.8503163  -3.7304597]
225,[-18.634745 -29.847765 -24.410694  -9.397761]
226,[-24.754671  -38.468006  -11.338398    2.0174098]
227,[-31.49637   -26.518696  -23.641361    2.2917137]
228,[-29.823492 -25.210075 -22.245537   2.337471]
229,[-23.606236  -37.99567   -11.537212    1.0222173]
230,[-18.91176  -27.102459 -23.586933 -10.13678 ]
231,[-22.146914 -12.237381 -19.604004   3.342401]
232,[-14.965736  -11.530191   -5.9336343  -5.4634047]
233,[-23.356838  -27.88429    -9.051324   -5.0845623]
234,[-21.656715  -24.145514   -9.249465   -5.9523034]
235,[-22.422836 -14.916676 -15.362308   3.157753]
236,[-19.154697  -12.43461    -4.9557714  -1.5020305]
237,[-24.28171   -35.73823   -11.368784    1.5093095]
238,[-14.965736  -11.530191   -5.9336343  -5.4634047]
239,[-15.09389    -8.564654   -0.7099351  -2.918541 ]
240,[-23.240294  -38.009842  -11.466634    0.8167166]
241,[-30.970072  -27.613434  -23.157776    2.0390677]
242,[-23.342024 -11.083881 -16.842093   2.819662]
243,[-22.146914 -12.237381 -19.604004   3.342401]
244,[-30.47572   -25.356932  -22.738266    2.1902738]
245,[-32.427166  -27.673943  -22.82569     3.0686746]
246,[-16.049086  -12.303065   -8.07028    -2.2875247]
247,[-13.934513  -37.29977   -15.695795   -7.7613163]
248,[-12.916931  -20.561605  -15.682353   -6.1165257]
249,[-26.753134  -22.727943    1.2953211   0.9739039]
250,[-14.075702  -20.211693  -24.430632    3.6333137]
251,[-23.80044    -37.67534    -11.360211     0.98470247]
252,[-22.146914 -12.237381 -19.604004   3.342401]
253,[-26.143919  -8.160946 -17.017094   4.751476]
254,[-16.049086  -12.303065   -8.07028    -2.2875247]
255,[ -8.05421   -19.342802  -19.943819    3.1513991]
256,[-19.231916  -18.03523    -5.6028314   4.4728456]
257,[ -6.2193165 -24.965652   -9.960002    2.0147095]
258,[-21.093695 -43.304638  -9.846374   8.166899]
259,[ -6.6306973 -31.542326  -10.474155    1.7656908]
260,[ -6.180803 -22.258587 -12.770764  -6.892047]
261,[-13.128921  -31.141077   -6.1388707  10.160974 ]
262,[-13.947981 -37.767902 -15.160191  -7.69569 ]
263,[-10.337515 -35.334587  -9.376796   6.668257]
264,[-16.618061  -36.32543    -2.4376264   2.1479044]
265,[-14.552838 -36.47463  -15.230998  -7.087118]
266,[-11.93576   -20.892744  -25.857143    2.3998556]
267,[-13.55103   -37.41968   -15.389331   -7.2428503]
268,[-24.28171   -35.73823   -11.368784    1.5093095]
269,[ -6.884012  -20.676704   -3.7782466  -5.3297133]
270,[-16.909796  -24.886944   -5.865706    8.0084095]
271,[-11.171141  -22.542984  -26.543716   -1.1780475]
272,[-24.2573    -27.508741   -4.9972777  10.765812 ]
273,[-11.847748 -44.129585 -16.624714  -2.193624]
274,[ -9.535192  -23.777103   -1.9296006  -2.8169136]
275,[-12.378125  -23.95259    -3.6645734  10.545508 ]
276,[-10.272153   -23.293089    -0.12371726   0.8983583 ]
277,[-18.89985   -18.789202   -4.6688437   3.0648413]
278,[-14.974153 -26.862663  -6.569671   8.34186 ]
279,[-16.406256 -27.462318   3.371714   2.662509]
280,[ -1.9108614 -31.935514   -9.013797   -1.4711205]
281,[-21.257208  -27.232908   -2.1623757   1.9438295]
282,[-14.255485 -46.42992  -11.600003   5.194961]
283,[-21.500843 -41.09042  -10.07023    8.225126]
284,[ -1.451953  -24.268171   -8.804934    1.7037114]
285,[-13.934513  -37.29977   -15.695795   -7.7613163]
286,[-10.297824  -20.826483    5.086517    0.2088121]
287,[-17.446526  -38.247738   -3.417957    2.9854078]
288,[-23.41879  -46.07143  -10.591231   9.490829]
289,[-20.49856   -38.883804  -30.527271    0.8001343]
290,[-17.565622  -38.71741    -3.881051    2.9169402]
291,[-14.298957 -26.32593   -8.225646   6.189526]
292,[-16.9895    -39.018562   -3.9803562   2.6276894]
293,[-21.114262 -45.20168  -11.068524   7.600458]
294,[-10.422623  -17.344162    5.7422075   2.9600081]
295,[-16.456894  -38.991627   -3.085999    1.8574451]
296,[-19.630875   -40.141838   -30.348497     0.29091275]
297,[-22.549095 -46.315544 -10.399783   8.703662]
298,[ -9.805795  -19.151943    4.246698    2.4016385]
299,[ -8.496673  -27.63083     0.3840472   1.727506 ]
300,[-12.63429  -21.76147   -4.327985  10.857535]
301,[-11.171141  -22.542984  -26.543716   -1.1780475]
302,[-10.553204  -18.084625    5.247502    1.7858958]
303,[-22.134882 -44.378525 -10.755948   8.08034 ]
304,[-16.597336  -28.486925    3.6101673   0.9581377]
305,[-21.500843 -41.09042  -10.07023    8.225126]
306,[-16.92403    -40.25589     -1.5742617   -0.21450537]
307,[-10.297824  -20.826483    5.086517    0.2088121]
308,[-11.80833  -22.113749 -25.708172   1.845642]
309,[-16.547918  -25.935673   -4.8323784   9.525663 ]
310,[ -9.111293  -21.084856  -21.247326    2.7220259]
311,[-24.754671  -38.468006  -11.338398    2.0174098]
312,[-29.823492 -25.210075 -22.245537   2.337471]
313,[-30.01142   -27.602278  -23.35018     1.8206035]
314,[-24.25429   -36.66413   -11.600073    1.6074617]
315,[-10.384324 -14.834197 -22.045975  -7.155494]
316,[-40.649208 -32.37152  -20.082132   8.735037]
317,[-22.82654  -26.343811  -9.983285  -4.922291]
318,[-22.279648 -26.469227 -10.415421  -5.491915]
319,[-18.001177    -8.471131    -4.800398    -0.20286992]
320,[-31.804922  -27.71086   -23.043495    2.3520155]
321,[-16.626616  -12.352656   -8.0036     -2.8632736]
322,[-17.063412  -20.461895   -6.2877073   1.6714313]
323,[-22.884907 -25.78596  -10.022173  -4.91316 ]
324,[-19.695541  -18.628496   -1.2274307  -1.681417 ]
325,[-22.75133   -37.78609   -11.422032    1.0560497]
326,[-21.56578  -11.051366 -16.0254     2.694552]
327,[-29.992085 -18.75216  -13.073285  10.056889]
328,[-31.689516 -23.864069 -11.004482   8.58965 ]
329,[-21.138893   -9.21153   -13.113581    3.5770745]
330,[-22.146914 -12.237381 -19.604004   3.342401]
331,[-22.279648 -26.469227 -10.415421  -5.491915]
332,[ -9.832947 -20.894659  -6.399757  -5.217129]
333,[-20.520548 -30.60498  -24.692476  -8.131051]
334,[-13.88868   -16.346056   -5.085802   -3.3702898]
335,[-17.77889  -24.964825 -24.91106   11.787984]
336,[-15.652349  -18.160864   -1.5081942   2.243115 ]
337,[-22.146914 -12.237381 -19.604004   3.342401]
338,[-24.98033   -20.0633    -11.841286    3.0145636]
339,[-22.82654  -26.343811  -9.983285  -4.922291]
340,[-11.902408  -29.169231  -21.52161     2.9093142]
341,[-26.315113 -23.933098  -3.069097  10.913387]
342,[-11.583666  -41.93789   -15.435193   -1.5286249]
343,[-21.114262 -45.20168  -11.068524   7.600458]
344,[-12.099555  -43.30797   -16.362127   -1.9321235]
345,[ -4.98842  -28.206934  -6.476219   7.912542]
346,[-21.114262 -45.20168  -11.068524   7.600458]
347,[ -6.9366145 -23.049545  -12.303219   -7.696735 ]
348,[-11.847748 -44.129585 -16.624714  -2.193624]
349,[-18.15333   -26.759705    5.6820436   9.482035 ]
350,[ -8.277006 -20.99444   -9.869935  -8.31136 ]
351,[-19.480766  -37.851635  -29.606913    0.8723099]
352,[ -4.1369977 -27.47074    -7.259771   -6.4827623]
353,[-20.997879  -27.014694   -2.0413752   2.0613108]
354,[ -9.832947 -20.894659  -6.399757  -5.217129]
355,[-14.873989  -15.946377   -2.0304947   4.5339622]
356,[-19.681023   -36.926647   -29.475578     0.16313225]
357,[-15.652349  -18.160864   -1.5081942   2.243115 ]
358,[ -4.460348  -24.734032   -9.7270155   0.2582624]
359,[ -9.832947 -20.894659  -6.399757  -5.217129]
360,[-22.091362 -45.040398 -11.054128   7.861662]
361,[-10.650074  -22.668396    1.818766    0.2054037]
362,[-17.23752   -20.757996   -8.514733    1.6057341]
363,[-11.958967 -21.120207  -4.213548  11.20097 ]
364,[-17.565622  -38.71741    -3.881051    2.9169402]
365,[ -1.451953  -24.268171   -8.804934    1.7037114]
366,[-23.270002  -35.460064  -10.824027    1.4841162]
367,[-30.23986   -24.464472  -21.733759    1.9716032]
368,[-19.630875   -40.141838   -30.348497     0.29091275]
369,[-22.21048   -26.896713   -9.997849   -5.4506445]
370,[-19.681023   -36.926647   -29.475578     0.16313225]
371,[-22.936335 -24.768202 -10.100055  -5.083444]
372,[-32.306114  -27.966057  -23.548487    2.5120296]
373,[-22.075392  -12.217954  -19.92024     3.0187244]
374,[-14.965736  -11.530191   -5.9336343  -5.4634047]
375,[-30.01142   -27.602278  -23.35018     1.8206035]
376,[-16.626616  -12.352656   -8.0036     -2.8632736]
377,[-23.240294  -38.009842  -11.466634    0.8167166]
378,[-16.049086  -12.303065   -8.07028    -2.2875247]
379,[-18.001177    -8.471131    -4.800398    -0.20286992]
380,[-17.23752   -20.757996   -8.514733    1.6057341]
381,[-14.075702  -20.211693  -24.430632    3.6333137]
382,[-22.146914 -12.237381 -19.604004   3.342401]
383,[-22.422836 -14.916676 -15.362308   3.157753]
384,[-30.970072  -27.613434  -23.157776    2.0390677]
385,[-12.505185  -30.152805  -21.248104    2.1208487]
386,[-15.09389    -8.564654   -0.7099351  -2.918541 ]
387,[-11.206186  -18.648645  -16.53774    -5.6447873]
388,[-20.520548 -30.60498  -24.692476  -8.131051]
389,[-13.88868   -16.346056   -5.085802   -3.3702898]
390,[-24.98033   -20.0633    -11.841286    3.0145636]
391,[-17.23752   -20.757996   -8.514733    1.6057341]
392,[-26.504337  -7.500134 -16.594648   4.851384]
393,[-21.105904   -8.653583  -12.624325    3.1646085]
394,[-15.743058   -9.544211   -0.8503163  -3.7304597]
395,[-11.137273  -13.384952  -14.502479   -4.4942737]
396,[-24.746744  -38.660946  -11.283946    2.4922996]
397,[-19.060429   -39.497356   -30.093517    -0.24040139]
398,[-16.626616  -12.352656   -8.0036     -2.8632736]
399,[-24.50242   -11.048448  -15.669887    5.4650407]
400,[-23.356838  -27.88429    -9.051324   -5.0845623]
401,[-24.760897  -35.846912  -11.1444      1.0108647]
402,[-10.201041  -26.797937  -22.406265    2.7815905]
403,[-22.279648 -26.469227 -10.415421  -5.491915]
404,[-19.695541  -18.628496   -1.2274307  -1.681417 ]
405,[-18.69789   -19.793318   -4.6914387   3.06213  ]
406,[ -5.9224467 -20.20016    -4.8185782  -4.428482 ]
407,[-21.705654  -10.022218  -18.45629     4.5395575]
408,[-21.882498 -26.595947 -10.002267  -4.936247]
409,[-13.88868   -16.346056   -5.085802   -3.3702898]
410,[-13.614205   -9.892176    1.4274685  -1.4852434]
411,[-11.264291  -20.15221   -26.836489    1.0064509]
412,[-21.257208  -27.232908   -2.1623757   1.9438295]
413,[-13.614205   -9.892176    1.4274685  -1.4852434]
414,[-22.82654  -26.343811  -9.983285  -4.922291]
415,[-15.418222  -12.138361   -5.5741987  -6.366987 ]
416,[-20.49856   -38.883804  -30.527271    0.8001343]
417,[-15.324126  -18.206163   -1.9177537   1.8414849]
418,[-18.566505   -9.601542  -10.541568    5.4254937]
419,[-30.354588  -27.992172  -23.352066    1.5402017]
420,[-10.050319  -19.859734   -8.499397   -4.7578883]
421,[-23.64556   -26.636612   -9.765582   -6.0705357]
422,[-30.47572   -25.356932  -22.738266    2.1902738]
423,[-31.553747  -25.564188  -23.481197    2.0866752]
424,[-18.812937  -18.579365   -5.430287    4.4893665]
425,[-11.137273  -13.384952  -14.502479   -4.4942737]
426,[-30.354588  -27.992172  -23.352066    1.5402017]
427,[-22.279648 -26.469227 -10.415421  -5.491915]
428,[-15.743058   -9.544211   -0.8503163  -3.7304597]
429,[-18.001177    -8.471131    -4.800398    -0.20286992]
430,[-38.42115  -31.622486 -20.456873   8.870152]
431,[-22.82654  -26.343811  -9.983285  -4.922291]
432,[-23.240294  -38.009842  -11.466634    0.8167166]
433,[-16.049086  -12.303065   -8.07028    -2.2875247]
434,[-22.756172 -25.422625  -9.894074  -5.264028]
435,[-16.390142  -18.309599   -4.6478524   1.5973608]
436,[-22.146914 -12.237381 -19.604004   3.342401]
437,[-22.075392  -12.217954  -19.92024     3.0187244]
438,[-22.641119  -16.360184  -14.953953    1.5556685]
439,[-22.146914 -12.237381 -19.604004   3.342401]
440,[-22.146914 -12.237381 -19.604004   3.342401]
441,[-19.695541  -18.628496   -1.2274307  -1.681417 ]
442,[-13.55103   -37.41968   -15.389331   -7.2428503]
443,[-17.896416  -15.666572  -18.02489    -1.5845349]
444,[-14.965736  -11.530191   -5.9336343  -5.4634047]
445,[ -9.111293  -21.084856  -21.247326    2.7220259]
446,[-18.89985   -18.789202   -4.6688437   3.0648413]
447,[-29.033138 -13.396551 -10.938771   9.026461]
448,[-39.454147 -31.297226 -20.710796   9.180322]
449,[-13.3919735  -9.340878    1.8198408  -0.6461075]
450,[-11.171141  -22.542984  -26.543716   -1.1780475]
451,[-22.75133   -37.78609   -11.422032    1.0560497]
452,[-12.099555  -43.30797   -16.362127   -1.9321235]
453,[-21.380577  -45.434578  -11.092084    7.8161106]
454,[-13.374144   -43.82977    -15.994151    -0.67726004]
455,[ -4.1369977 -27.47074    -7.259771   -6.4827623]
456,[-22.549095 -46.315544 -10.399783   8.703662]
457,[-13.947981 -37.767902 -15.160191  -7.69569 ]
458,[ -6.646636  -31.298405  -11.386836    1.6994361]
459,[-16.462755  -39.177933   -3.6128864   2.6615067]
460,[-15.552161 -34.13175  -12.901481 -10.068521]
461,[-21.080837  -41.055317  -29.927118    1.6947298]
462,[-14.910329  -30.562151   -4.428473   -1.1016195]
463,[-23.259436  -22.047613   -1.1757891   9.074862 ]
464,[ -8.277006 -20.99444   -9.869935  -8.31136 ]
465,[-17.063412  -20.461895   -6.2877073   1.6714313]
466,[-13.780685 -20.234533 -23.289331   3.176517]
467,[-24.746744  -38.660946  -11.283946    2.4922996]
468,[ -6.8098364 -30.498049   -9.20008     6.9595656]
469,[-20.805132  -40.63725   -11.043347   -3.5188675]
470,[-17.851465 -26.071564  -1.967872  18.4775  ]
471,[-10.422623  -17.344162    5.7422075   2.9600081]
472,[-22.75133   -37.78609   -11.422032    1.0560497]
473,[-14.298957 -26.32593   -8.225646   6.189526]
474,[-11.322716  -21.515041    2.331186    3.0983481]
475,[ -3.5079596 -26.827496  -13.475604   -3.8347106]
476,[-16.18511   -24.855947   -6.1122866   3.4337683]
477,[ -2.1868489 -21.218748   -8.670697    2.5277967]
478,[-28.795847 -48.830894  -9.456166  15.701842]
479,[-11.550058  -44.084724  -16.47558    -1.9609457]
480,[ -6.5004983 -17.86426    -3.9943874  -3.8184958]
481,[-26.315113 -23.933098  -3.069097  10.913387]
482,[-11.550058  -44.084724  -16.47558    -1.9609457]
483,[-14.974153 -26.862663  -6.569671   8.34186 ]
484,[ -1.6799827 -24.60303    -7.676732    1.4993067]
485,[-14.552838 -36.47463  -15.230998  -7.087118]
486,[-21.380577  -45.434578  -11.092084    7.8161106]
